Time (UTC),T2(Model),Temp(Obs),Obs-Model,WD(Model),WD(Obs),Obs-Model,WS(Model),WS(Obs),Obs-Model,SWDown(Model), SWLower,Obs-Model,SWUpper
08-11-2020  18,24.53708,18.33333,-6.20375,205.9857,150.4778,-55.5079,0.71039,0.2725972,-0.4377928,0,4.631,4.631,0.567
08-11-2020  19,22.83261,18.23861,-4.594,238.97601,134.8833,-104.09271,1.34936,0.4541944,-0.8951656,0,4.703,4.703,-0.185
08-11-2020  20,21.95248,17.65789,-4.29459,263.32736,247.3437,-15.98366,1.12628,0.5199718,-0.6063082,0,4.62,4.62,0.228
08-11-2020  21,21.09433,16.94944,-4.14489,231.58954,244.5458,12.95626,1.23436,0.5871944,-0.6471656,0,4.41,4.41,0.136
08-11-2020  22,20.82166,16.33889,-4.48277,234.27325,280.0917,45.81845,1.47455,0.9343611,-0.5401889,0,4.94,4.94,-0.72
08-11-2020  23,20.3215,16.21792,-4.10358,252.97897,279.0458,26.06683,1.26225,0.8948611,-0.3673889,0,5.168,5.168,-1.975
09-11-2020  00,19.96695,16.03305,-3.9339,257.8324,269.0847,11.2523,0.94394,1.014083,0.070143,0,4.591,4.591,-0.97
09-11-2020  01,19.66501,15.39861,-4.2664,245.36992,283.2931,37.92318,1.09629,1.646444,0.550154,0,4.561,4.561,-1.783
09-11-2020  02,19.80576,15.03903,-4.76673,248.12137,284.975,36.85363,1.02721,1.768736,0.741526,64.55558,4.758,-59.79758,-0.177
09-11-2020  03,20.90155,15.2075,-5.69405,252.59866,281.6069,29.00824,1.43863,1.060931,-0.377699,230.24847,11.17,-219.07847,43.73
09-11-2020  04,23.13983,15.86139,-7.27844,265.41956,295.1667,29.74714,1.31191,1.830708,0.518798,404.3501,25.86,-378.4901,136.8
09-11-2020  05,25.72794,19.75789,-5.97005,266.61871,292.2105,25.59179,1.00779,0.6947368,-0.3130532,546.8847,40.87,-506.0147,316.1
09-11-2020  06,28.05814,22.35271,-5.70543,284.2738,256.1995,-28.0743,1.43313,0.9683743,-0.4647557,633.46765,67.39,-566.07765,375.7
09-11-2020  07,29.69952,23.53972,-6.1598,308.11807,305.0347,-3.08337,1.79923,1.646722,-0.152508,641.45752,74.99,-566.46752,406.8
09-11-2020  08,30.52487,24.43194,-6.09293,220.72304,275.3319,54.60886,1.24886,1.78125,0.53239,566.13983,71.19,-494.94983,381.4
09-11-2020  09,29.52179,25.38722,-4.13457,343.26337,297.9028,-45.36057,3.01043,1.649319,-1.361111,0,62.1,62.1,327.9
09-11-2020  10,29.09518,25.92375,-3.17143,340.69836,305.3472,-35.35116,4.7096,1.486986,-3.222614,283.84778,46.79,-237.05778,235
09-11-2020  11,28.4509,25.86,-2.5909,339.28308,299.132,-40.15108,4.5064,1.719542,-2.786858,119.38067,32.9,-86.48067,151.6
09-11-2020  12,27.27936,24.68722,-2.59214,340.41486,284.0403,-56.37456,3.3493,1.892833,-1.456467,1.26366,13.71,12.44634,46.05
09-11-2020  13,26.35263,22.80403,-3.5486,357.13135,291.1583,-65.97305,1.69687,1.52293,-0.17394,0,6.716,6.716,3.084
09-11-2020  14,25.86032,22.1125,-3.74782,35.15413,284.9556,249.80147,1.21253,0.7873471,-0.4251829,0,5.589,5.589,0.681
09-11-2020  15,25.21756,20.67972,-4.53784,36.09776,163.8528,127.75504,1.22556,0.3135278,-0.9120322,0,4.383,4.383,-0.122
09-11-2020  16,24.58545,20.04445,-4.541,28.19392,227.8528,199.65888,0.73993,0.4955694,-0.2443606,0,4.795,4.795,0.03
09-11-2020  17,23.95044,19.42569,-4.52475,306.7821,212.8958,-93.8863,0.36481,0.3887222,0.0239122,0,3.847,3.847,0.49
09-11-2020  18,23.11899,18.60722,-4.51177,305.06079,227.7639,-77.29689,0.58997,0.3469444,-0.2430256,0,3.704,3.704,0.244
09-11-2020  19,21.49762,17.70736,-3.79026,293.96689,213.8653,-80.10159,1.00171,0.1753333,-0.8263767,0,3.363,3.363,0.383
09-11-2020  20,21.10699,17.44194,-3.66505,289.71332,147.0681,-142.64522,0.3643,0.3154861,-0.0488139,0,3.674,3.674,-0.152
09-11-2020  21,20.72479,17.02458,-3.70021,240.118,237.0069,-3.1111,0.33703,0.2935694,-0.0434606,0,4.18,4.18,-0.051
09-11-2020  22,20.39804,16.50861,-3.88943,248.49034,274.3708,25.88046,0.71643,1.054083,0.337653,0,4.525,4.525,-1.123
09-11-2020  23,19.90472,16.45139,-3.45333,268.1879,290.0958,21.9079,0.63935,1.209083,0.569733,0,4.506,4.506,-1.984
10-11-2020  00,19.63419,15.79042,-3.84377,271.88791,269.8736,-2.01431,0.65599,0.6756805,0.0196905,0,3.784,3.784,-0.063
10-11-2020  01,19.18091,15.69097,-3.48994,252.33971,285.6819,33.34219,0.47337,1.216917,0.743547,0,5.16,5.16,-1.78
10-11-2020  02,19.26395,15.53805,-3.7259,129.58041,235.2,105.61959,0.00842,0.8095417,0.8011217,64.59412,4.875,-59.71912,1.82
10-11-2020  03,21.13098,15.34014,-5.79084,134.73709,277.6778,142.94071,0.00333,0.8671943,0.8638643,227.06482,11.5,-215.56482,51.16
10-11-2020  04,23.49548,17.4575,-6.03798,2.18163,210.0514,207.86977,0.00106,0.4878333,0.4867733,388.16223,22.78,-365.38223,162.6
10-11-2020  05,26.19446,19.42625,-6.76821,317.69955,298.9375,-18.76205,0.02292,0.9640971,0.9411771,521.62866,39.68,-481.94866,280.9
10-11-2020  06,27.94254,23.73805,-4.20449,136.53433,188.1639,51.62957,1.90875,0.6371527,-1.2715973,548.83148,67.34,-481.49148,383.6
10-11-2020  07,28.90085,26.29889,-2.60196,157.11862,90.03334,-67.08528,0.92837,1.041875,0.113505,608.30768,69.16,-539.14768,394.1
10-11-2020  08,29.57983,27.45944,-2.12039,53.20792,128.7181,75.51018,0.97981,1.643889,0.664079,448.24231,68.83,-379.41231,376.9
10-11-2020  09,29.43295,27.87528,-1.55767,113.91258,124.8028,10.89022,3.43122,2.24125,-1.18997,0,65.38,65.38,358.3
