Time (UTC),T2(Model),Temp(Obs),Obs-Model,WD(Model),WD(Obs),Obs-Model,WS(Model),WS(Obs),Obs-Model,SWDown(Model), SWLower,Obs-Model,SWUpper
27-11-2020  13,22.62885,22.88958,0.26073,299.55453,309.4278,9.87327,2.44871,2.288194,-0.160516,0,7.316,7.316,3.61
27-11-2020  14,21.48663,21.42944,-0.05719,292.08862,297.1583,5.06968,2.21156,2.228167,0.016607,0,6.268,6.268,-2.056
27-11-2020  15,20.57928,19.91215,-0.66713,279.94974,296.3039,16.35416,1.91272,1.957597,0.044877,0,5.932,5.932,-1.767
27-11-2020  16,19.72937,19.50597,-0.2234,268.74289,299.9,31.15711,1.75153,1.835083,0.083553,0,5.94,5.94,-2.03
27-11-2020  17,18.99619,19.025,0.02881,268.17706,287.1056,18.92854,1.90804,1.715819,-0.192221,0,5.75,5.75,-2.436
27-11-2020  18,18.28192,18.26736,-0.01456,274.5105,275.5945,1.084,2.292,1.791542,-0.500458,0,5.517,5.517,-2.517
27-11-2020  19,17.56659,16.34122,-1.22537,271.95782,285.1451,13.18728,2.39733,2.040458,-0.356872,0,5.246,5.246,-2.359
27-11-2020  20,16.86276,15.29167,-1.57109,270.13239,285.3111,15.17871,2.54224,2.188208,-0.354032,0,5.188,5.188,-2.393
27-11-2020  21,16.08118,14.83528,-1.2459,269.56445,278.6667,9.10225,2.73917,2.108736,-0.630434,0,5.193,5.193,-2.642
27-11-2020  22,15.40396,14.09722,-1.30674,270.98566,279.9055,8.91984,2.80447,2.21125,-0.59322,0,4.979,4.979,-2.658
27-11-2020  23,15.00674,13.41069,-1.59605,272.81982,281.1667,8.34688,2.67353,2.664486,-0.009044,0,4.599,4.599,-2.709
28-11-2020  00,14.65952,12.77972,-1.8798,273.18729,288.7333,15.54601,2.58909,2.855333,0.266243,0,4.504,4.504,-2.606
28-11-2020  01,14.31998,12.30611,-2.01387,272.84003,287.2444,14.40437,2.48751,2.568861,0.081351,0,4.622,4.622,-2.593
28-11-2020  02,14.34879,12.06028,-2.28851,279.31378,284.8486,5.53482,2.57371,2.377611,-0.196099,47.09908,4.82,-42.27908,-1.526
28-11-2020  03,15.85529,11.84486,-4.01043,290.85739,286.9264,-3.93099,2.90539,2.408375,-0.497015,236.76018,12.46,-224.30018,58.18
28-11-2020  04,18.24841,13.42667,-4.82174,300.61945,284.9319,-15.68755,3.3543,3.043805,-0.310495,423.65604,28.55,-395.10604,218.5
28-11-2020  05,20.8891,15.70708,-5.18202,306.45959,297.1236,-9.33599,3.19119,3.699069,0.507879,568.97028,43.69,-525.28028,390.6
28-11-2020  06,23.60837,18.75139,-4.85698,310.35919,297.3361,-13.02309,3.54644,3.731792,0.185352,652.34387,71.74,-580.60387,535.2
28-11-2020  07,25.59674,20.91708,-4.67966,313.20166,314.1056,0.90394,4.09646,4.18468,0.08822,670.72528,82.9,-587.82528,614.1
28-11-2020  08,26.61035,22.50486,-4.10549,321.67325,313.5236,-8.14965,5.23299,4.537541,-0.695449,620.41772,85,-535.41772,622.3
30-11-2020  09,26.41156,23.47319,-2.93837,305.05966,307.0236,1.96394,1.80474,2.833083,1.028343,0,69.36,69.36,483.4
30-11-2020  10,26.56012,24.10514,-2.45498,271.93188,299.6375,27.70562,2.83708,2.684361,-0.152719,311.17368,57.06,-254.11368,380.1
30-11-2020  11,26.09326,24.36666,-1.7266,279.36859,317.3139,37.94531,3.5048,2.787611,-0.717189,134.08237,38.61,-95.47237,230.2
30-11-2020  12,24.68152,24.02125,-0.66027,290.63232,304.8542,14.22188,2.77089,1.794083,-0.976807,0,17.06,17.06,75.88
30-11-2020  13,23.63663,22.61319,-1.02344,286.67621,304.7195,18.04329,1.79808,1.241194,-0.556886,0,7.425,7.425,4.59
30-11-2020  14,22.80096,20.97931,-1.82165,294.86377,299.3195,4.45573,1.2193,1.228083,0.008783,0,6.174,6.174,0.443
30-11-2020  15,22.02026,19.01377,-3.00649,282.72809,107.9481,-174.77999,0.66852,0.4278701,-0.2406499,0,4.867,4.867,1.033
30-11-2020  16,21.64612,19.03486,-2.61126,232.29831,127.625,-104.67331,0.54783,0.4808472,-0.0669828,0,5.176,5.176,0.865
30-11-2020  17,20.92877,18.01903,-2.90974,240.37207,199.0681,-41.30397,1.2428,0.487,-0.7558,0,4.856,4.856,0.323
30-11-2020  18,19.52374,16.47889,-3.04485,234.77231,271.0986,36.32629,1.44154,0.2962083,-1.1453317,0,4.298,4.298,0.589
30-11-2020  19,18.75638,16.20869,-2.54769,236.81689,229.1104,-7.70649,1.30697,0.3908361,-0.9161339,0,4.465,4.465,0.357
30-11-2020  20,18.2908,15.13005,-3.16075,235.96709,241.8534,5.88631,1.45559,0.3015399,-1.1540501,0,4.078,4.078,1.03
30-11-2020  21,17.7778,14.59389,-3.18391,243.52698,225.8611,-17.66588,1.66242,0.4879166,-1.1745034,0,3.804,3.804,0.937
30-11-2020  22,17.23276,14.1843,-3.04846,246.77043,273.325,26.55457,1.68462,0.6505417,-1.0340783,0,5.002,5.002,0.066
30-11-2020  23,16.74167,13.96889,-2.77278,246.57153,250.8,4.22847,1.59641,0.6322917,-0.9641183,0,4.403,4.403,0.442
